Item,Division
 Grading and Excavation (Includes both ponds),SITEWORK
Medium Shrubs  5 gal 18 oc,SITEWORK
Controlled Access Gate System,SITEWORK
Dog Wash,SITEWORK
Masonry Column Footings,SITEWORK
Rock Trenching for Electrical,SITEWORK
Erosion Control  Onsite,SITEWORK
Irrigation Allowance,SITEWORK
BBQ Wall,SITEWORK
Proposed pavement in Alley,SITEWORK
Parking Striping,SITEWORK
Site Clearing  Excavation,SITEWORK
Pipe Bollard and covers,SITEWORK
Dry Utilities  Electrical Primary Ductbank,SITEWORK
Traffic Management Complete including permits and rentals,SITEWORK
NVE  ALLOWANCE,SITEWORK
MASS EARTH POND AND PAD PREP,SITEWORK
Fine Grading,SITEWORK
Demo Curb & Gutter,SITEWORK
 Surveys  Layout,SITEWORK
Subgrade Prep  Build Pad,SITEWORK
SITE  ALLOWANCE,SITEWORK
Fence  Allowance,SITEWORK
SW GAS,SITEWORK
Striping Symbols & Signs,SITEWORK
Chainlink Fence,SITEWORK
Rock Digging at Pool,SITEWORK
Decorative gravel,SITEWORK
Excavation  Embankment  North America,SITEWORK
Underground Cisterns,SITEWORK
Excavation  Clearing (remove 3 of fat clay and place select fill),SITEWORK
Tree Pruning  Fertilization,SITEWORK
Clearing Grubbing & Demo,SITEWORK
Detention  Retention,SITEWORK
Excavation  Campbell,SITEWORK
Const entrance,SITEWORK
Water Line,SITEWORK
Allowance #12  Repair City Sidewalks,SITEWORK
Site Signage (includes $7500 Allowance for Monument Sign),SITEWORK
Excavation  Bonds,SITEWORK
Privacy fencing  6 tall  Allowance,SITEWORK
Two Guard Shacks  Allowance,SITEWORK
 Haul Off Structural Spoils  Allowance,SITEWORK
 Public Sidewalks & Ramps (Includes proposed sidewalk at Airport Blvd and Glissman),SITEWORK
Existing Conditions (demolition),SITEWORK
1year Maintenance,SITEWORK
 DriveThru Lane Equip (Foundations & Conduits),SITEWORK
Gas Distribution,SITEWORK
Erosion Controls,SITEWORK
Pool Equipment Wood Fencing and Gates,SITEWORK
Ornamental Groundcover  4 pot 9 oc,SITEWORK
Landscape & Irrigation  Allowance,SITEWORK
FreeStanding Masonry Wall w Stone Veneer,SITEWORK
Site Preparation  Surveying ,SITEWORK
 Water ‐ Offsite (Includes 8 fire demand meter assembly),SITEWORK
Site Amenities  Allowance for Bike Racks,SITEWORK
 Site Utilities  Electric,SITEWORK
LEMONT TURNLANE IMPROVEMENTS,SITEWORK
Water  Fire Service  Private (includes fire line w 12 BPA),SITEWORK
Ext Lighting,SITEWORK
Utiliies,SITEWORK
Site Electrical Systems,SITEWORK
Water and Sewer Connections,SITEWORK
 Retaining Walls (limestone gravity retaining walls),SITEWORK
 Erosion Control ‐ Onsite,SITEWORK
 Excavation  Clearing (incl excavation & demo of existing structures),SITEWORK
Building Pad including Lime,SITEWORK
 SURVEY,SITEWORK
Large Evergreen Screen,SITEWORK
Site Concrete (retaining walls),SITEWORK
Data  Irrigation Sleeving  Allowance,SITEWORK
Traffic Signal,SITEWORK
 Offsite Paving (asphalt and base at Wayne Riddell Loop),SITEWORK
Site Furnishings & Equipment,SITEWORK
Pool Deck  Patio (Lueders Stone  Ipe Deck),SITEWORK
Monolithic curb,SITEWORK
SITE & BLDG DEMOLITION,SITEWORK
Landscaping Contract,SITEWORK
HD Asphalt (15 yr Design),SITEWORK
Miscellaneous Site Footings,SITEWORK
Clear & Strip Site,SITEWORK
Provide and Install approx 1370 LF Silt Fencing,SITEWORK
Traffic Signs and Signals,SITEWORK
 Bike Racks,SITEWORK
Tree Trimming,SITEWORK
Apartment Site,SITEWORK
 Termite Pre‐treatment,SITEWORK
BIKE LOCKERS SMOKE PICNIC SHELTERS  ALLOWANCE,SITEWORK
Electrical Distribution (Dry Utilities),SITEWORK
Termite Control,SITEWORK
 Foundation Excavation,SITEWORK
TRUCK DOCK CONCRETE,SITEWORK
EROSION CONTROL,SITEWORK
Fine Grade,SITEWORK
Concrete Paving (6 at fire lanes),SITEWORK
Miscellaneous Metals (5” diameter concretefilled pipe bumpers),SITEWORK
Parking Striping & Signage,SITEWORK
Inspection Chamber,SITEWORK
LAND DEVELOPMENT ‐ OFFSITE,SITEWORK
SWPPP  Erosion Control Monitor,SITEWORK
Drywells,SITEWORK
Flag Pole,SITEWORK
Paving Striping & Signage in 3,SITEWORK
 Erosion Control  Onsite,SITEWORK
Electrical Site,SITEWORK
Weather Conditions  Allowance,SITEWORK
Wheelstops ,SITEWORK
Termimesh (Termite Control),SITEWORK
Sanitary Sewer (Water and Storm),SITEWORK
Pest Control,SITEWORK
Water  Wastewater  Tap and Impact Fees  Allowance,SITEWORK
 Termite Pretreatment,SITEWORK
Sitework Contractor,SITEWORK
Site Canopies,SITEWORK
 Storm Detention Structures (Includes raingardens per plans),SITEWORK
Dry Utillities  Allowance,SITEWORK
 Demolition (clear site and haul off),SITEWORK
Site Preparation  Testing ,SITEWORK
Striping & Pavement Markings,SITEWORK
 Offsite Pavement Striping (striping at Wayne Riddell Loop),SITEWORK
Termite Treatment,SITEWORK
Abatement Demolition and Structure Moving,SITEWORK
 Additional Haul Off  Misc,SITEWORK
 Street Sweeping  Revegetation,SITEWORK
Detention  Filtration Pond,SITEWORK
Concrete at Cesar Chavez,SITEWORK
Site Prep & Fill,SITEWORK
Erosion and Sediment Control,SITEWORK
Demolition & Structure Moving,SITEWORK
RipRap,SITEWORK
Lawn Irrigation,SITEWORK
Sanitary Sewers,SITEWORK
CO #1  Remobilize Ranger Excavating for Bldgs 4 & 6,SITEWORK
Dewatering  Allowance,SITEWORK
Water Meters & Vault System,SITEWORK
Sewer Tap,SITEWORK
Silt fence,SITEWORK
Guard Rail,SITEWORK
Soil Treatment (Termite Control),SITEWORK
Stone Flatwork Gravel & Paving,SITEWORK
MASONRY SITE FENCE,SITEWORK
BBQ Grill,SITEWORK
FIRE LOOP  PARTIAL LOOP,SITEWORK
Survey & Staking  Phase 2  Allowance,SITEWORK
DUNHAM ROAD  OFFSITE STORM SEWER,SITEWORK
Foundation Drainage,SITEWORK
Light Pole Footings,SITEWORK
Construction Field Staking,SITEWORK
Light Poles,SITEWORK
Miscellaneous Concrete Items,SITEWORK
 Electrical Distribution  Allowance for primary and secondary conduit,SITEWORK
Landscape Irrigation,SITEWORK
Storm System,SITEWORK
FlatworkDriveway,SITEWORK
Ornamental Iron Fence,SITEWORK
Striping,SITEWORK
Permanent Retention System,SITEWORK
 Trellis shade structure,SITEWORK
SITEWORK TOTAL,SITEWORK
Relocate Signage and Light Pole (Allowance),SITEWORK
Demolition of Existing Structure,SITEWORK
 Demolition (Includes demolition of existing structures and fencing No abatement included),SITEWORK
Topsoil  Sand,SITEWORK
Site Utilities (Water Sewer Storm),SITEWORK
Move Overhead Electrical (Allowance),SITEWORK
OffSite Improvements,SITEWORK
 Excavation  Clearing (Includes select fill at building pads 1 PVR),SITEWORK
Lot 1,SITEWORK
 Landscape Drainage,SITEWORK
Taps amd Meters,SITEWORK
 Site Utilities  Watermain,SITEWORK
Concrete Paving,SITEWORK
Security Gates,SITEWORK
Concrete Paving Sidewalks,SITEWORK
Earthwork (SWPPP),SITEWORK
Septic,SITEWORK
Site Furnishings & Bicycle Racks,SITEWORK
OffSite Work,SITEWORK
LAND DEVELOPMENT ‐ ONSITE,SITEWORK
Fencing  Gate Access,SITEWORK
TRASH ENCLOSURES,SITEWORK
Drive and Parking,SITEWORK
Gas Meter,SITEWORK
Div 2  Sitework  Existing Conditions  Comparable Pricing,SITEWORK
Conduits  Trench & Backfill,SITEWORK
Previous Fire Lane,SITEWORK
Masonry Screen Wall  Kitchen Garden,SITEWORK
Large Specimen Trees,SITEWORK
Fire Water,SITEWORK
Curb & Gutter,SITEWORK
Sitework Self Perform,SITEWORK
DEMOLITION,SITEWORK
 Sanitary Sewer  OffSite,SITEWORK
Masonry Fence Columns,SITEWORK
Utility Service,SITEWORK
Existing Site Conditions,SITEWORK
Excavation Retention System,SITEWORK
Soil Treatment,SITEWORK
Fencing,SITEWORK
Site Grading and Clearing,SITEWORK
Heavy Equipment,SITEWORK
Erosion & Sedimentation Controls,SITEWORK
 Dumpster Enclosure  Gates,SITEWORK
Public sidewalks,SITEWORK
Termite,SITEWORK
 Site Amenities (brick pavers),SITEWORK
 Topsoil  Sand,SITEWORK
Demo Existing Storm Service,SITEWORK
Retaining Walls and Guardrails,SITEWORK
Amenities  BBQ  Site Furnishings  Allowance,SITEWORK
Interior Storm Drainage,SITEWORK
SITE CONCRETE,SITEWORK
Patch  Repair Site Concrete  Allowance,SITEWORK
Fencing  Steel Pool Fence,SITEWORK
Landscape Pavers,SITEWORK
Earthwork  SUB,SITEWORK
Street Sweeping  Revegetation,SITEWORK
 UNFORESEEN SUBSURFACE CONDITIONS,SITEWORK
 Data  Irrigation Sleeving  Allowance,SITEWORK
OnSite PreparationEarthwork,SITEWORK
 Private Sidewalks & AC Pads,SITEWORK
Tree Mitigation RemovalMaintenance,SITEWORK
Impact Tap and Permit Fees  Allowance,SITEWORK
Street Sweeping  Reveg,SITEWORK
Land Development  OnSite,SITEWORK
Bike racks  Allowance,SITEWORK
 Site Electrical  Ductbanks,SITEWORK
Site Amenities  Phase 2  Allowance,SITEWORK
Offsite Road Work,SITEWORK
Earth Retention System,SITEWORK
WroughtIron Fencing,SITEWORK
Detention Pond,SITEWORK
Termite Pretreatment,SITEWORK
Erosion Control  Phase II Erosion Control Barriers,SITEWORK
Water  Fire Service  Private,SITEWORK
Detention Ponds A & B,SITEWORK
Stone Steps w Lawn Joints,SITEWORK
Concrete washout,SITEWORK
Final Utility Hook Up  Allowance,SITEWORK
Site Earthwork,SITEWORK
Dog Park Fencing,SITEWORK
FenceGates,SITEWORK
Ornamental Plantings  1 gal 12 oc,SITEWORK
Miscellaneous Site Improvements,SITEWORK
VE  Delete all Planter Boxes not on Congress side,SITEWORK
SWPPP  EROSION CONTROL MONITORING,SITEWORK
Gas Service,SITEWORK
CO 3: Conduit for Telecom,SITEWORK
Import  Export Fill  Flecha Lane,SITEWORK
Soil Pretreat & Termite,SITEWORK
Demolition  Phase 2  Allowance,SITEWORK
Erosion Control  Phase I Silt Fencing,SITEWORK
Sinkhole Remediation,SITEWORK
Erosion Control  SWPPP,SITEWORK
CO #1  12 cost to change to ductile iron water mains from C900,SITEWORK
ArmGate Barriers at Entrance  Flecha & North America,SITEWORK
Landscape Allowance,SITEWORK
CO 2: Dumpster Pad Revision,SITEWORK
Retention System,SITEWORK
Amenities,SITEWORK
APT  Termite Pretreatment,SITEWORK
 Pool Fencing,SITEWORK
Pool Fencing and Gates,SITEWORK
Retaining & Fire Walls,SITEWORK
Sanitary Sewer  Offsite,SITEWORK
Alternate  Provide 12 curbs ILO 6 curbs at trailer parking area,SITEWORK
Site Construction,SITEWORK
Shoring,SITEWORK
Sitework  Grading  Asphalt,SITEWORK
Sitework Engineering,SITEWORK
 Site Pavement  Heavy Duty Asphalt,SITEWORK
Iron Fencing,SITEWORK
MISC RECREATIONAL AMENITIES,SITEWORK
Traffic Lights  Striping (Allowance),SITEWORK
Striping and Signage,SITEWORK
Driveway  Paving,SITEWORK
Sanitary Sewer  Private,SITEWORK
     Asbestos AbatementLabor,SITEWORK
Landscape and Irrigation,SITEWORK
Dolly Pads atop Mod CR6 (6),SITEWORK
Trash Enclosure,SITEWORK
Fence Allowance,SITEWORK
Fire Line,SITEWORK
Building Excavation Allowance,SITEWORK
Site Utilities,SITEWORK
 Storm Pond Internals (incl filtration system in garage detention vault),SITEWORK
 Water  Fire Service  Private,SITEWORK
Demolition (excludes abatement),SITEWORK
Pavement Markings Signage & Bollards,SITEWORK
Additional soil retention methods for excavation,SITEWORK
 Sanitary Sewer  Offsite,SITEWORK
Earthwork and additional excavation,SITEWORK
Hydrogen Infrastructure  Allowance,SITEWORK
6fire risers,SITEWORK
 Storm Drain ‐ Onsite (Includes box culverts),SITEWORK
Water Meter & Sewer Tap Work,SITEWORK
Entrance Wall & Signage,SITEWORK
Landing Pad  Flecha Lane,SITEWORK
COA Water Meter & Vault,SITEWORK
 Dog Park Fencing,SITEWORK
Includes Allowance of $12249 for Water Meter and Line Tap Fees,SITEWORK
Grade  Site Prep,SITEWORK
OffSite Concrete & Drive Entrances,SITEWORK
Striping & Signage,SITEWORK
Site Clear  Excavation,SITEWORK
Detectable warning pavers,SITEWORK
Added Depth to Retention System,SITEWORK
Irrigation,SITEWORK
All Pavement Patching and Replacement,SITEWORK
Trench drain grate,SITEWORK
Zozia Grass,SITEWORK
Temporary Roads,SITEWORK
Tank Foundation  Allowance,SITEWORK
 Electrical Distribution (Dry Utilities)  Allowance: primary & secondary conduit duct bank,SITEWORK
ONSITE,SITEWORK
 Water  Fire Service ‐ Private,SITEWORK
Newport and Chenango Streetscape  Metro District,SITEWORK
Site Fencing & Barriers  Allowance,SITEWORK
OffSite Infrastructure,SITEWORK
Add Amenities  Preliminary,SITEWORK
Site Specialties,SITEWORK
Build temporary driveway and staging area with crushed rock,SITEWORK
 SWPPP INSPECTIONS,SITEWORK
 Masonry at Trash Enclosure,SITEWORK
Tree Protection  Removal,SITEWORK
 Concrete Paving (5 at parking 6 at drives 7 at trash enclosures),SITEWORK
 Retaining Walls  Allowance for random pattern mosaic limestone walls,SITEWORK
Survey,SITEWORK
Silt Fence  Erosion Control  Mulch Socks,SITEWORK
Demolition  Flecha Lane,SITEWORK
Parking Lot  Bumpers  Traffic Signs  Stenciling,SITEWORK
Tree Pruning,SITEWORK
Water Quality Pond,SITEWORK
Lay Down Yards and Access Roads,SITEWORK
Monument Sign,SITEWORK
Fence and Gate,SITEWORK
Fencing and Gates,SITEWORK
Includes Allowance of $100000 for Water Pump and Tank,SITEWORK
Landscape Drainage,SITEWORK
Earthwork and Excavation,SITEWORK
Gravel Access Road,SITEWORK
Power and Communications Conduits,SITEWORK
BUILDING EXCAVATION & SLAB STONE,SITEWORK
GENERAL EARTHWORK,SITEWORK
 Monument Sign  Foundation Base Electrical Fees,SITEWORK
Storm Pond Internals,SITEWORK
 DRY UTILITIES,SITEWORK
Soil Retention System,SITEWORK
 Storm Pond Internals (Includes piping and filtration media),SITEWORK
Allowance #13  Remove City Parking Meters,SITEWORK
Grading  Rough,SITEWORK
Site Grading  Allowance,SITEWORK
Landscaping and Irrigation  Phase 2  Allowance,SITEWORK
Termimesh (termite protection),SITEWORK
Additional Interior Demolition,SITEWORK
Fences & Gates,SITEWORK
 WET UTILITIES,SITEWORK
SubGrade Drainage,SITEWORK
Civil Surveying,SITEWORK
OnSite Improvements,SITEWORK
 Irrigation System,SITEWORK
 Concrete Paving (5 at parking 6 at fire lane 7 drive approaches),SITEWORK
 Landscape Irrigation,SITEWORK
Excavation for foundations presumed to be in Concrete SubContractor scope,SITEWORK
Import  Export Fill  North America,SITEWORK
Landscape and Irrigation (Allowance),SITEWORK
Site Utilities (Infrastructure),SITEWORK
SWPPP & Erosion Protection,SITEWORK
 Storm Drain  Offsite,SITEWORK
 Entrance Sign (Foundation only Signage by others),SITEWORK
Planting Drainage & Grading,SITEWORK
Transformer Pads,SITEWORK
Perimeter Fence (wood fence at South and West perimeters),SITEWORK
Site Preparation,SITEWORK
Bike rack footings 12x18 deep,SITEWORK
Landscape Lighting,SITEWORK
Erosion Control  Initial Layout,SITEWORK
Small Evergreen Screen,SITEWORK
Automatic Gate Openers,SITEWORK
Environmental Costs,SITEWORK
Light Pole Bases ,SITEWORK
Pipe Bollards,SITEWORK
CURBS AND GUTTERS,SITEWORK
Lot 2,SITEWORK
Site Furnishings and General Requirements,SITEWORK
Dry Utilities  Electrical SecondaryCommLighting,SITEWORK
Landscaping  Plantings,SITEWORK
Demolition  includes $40000 Aloowance,SITEWORK
Landscape and Irrigation  Allowance,SITEWORK
Site Clearing  Rough Grading,SITEWORK
Fire Line Extension  Allowance,SITEWORK
Parking Stripes and Wheel Stops,SITEWORK
STONE FOR SITE CONCRETE,SITEWORK
Water Meters,SITEWORK
Fences and Gates  Metal & Wood,SITEWORK
DUNHAM ROAD MILL AND OVERLAY (ALLOWANCE),SITEWORK
Survey & Staking,SITEWORK
Evergreen Trees,SITEWORK
Pavers,SITEWORK
Tree Mitigation,SITEWORK
Excavate garage basement,SITEWORK
Site Clearing  Earthwork,SITEWORK
Demolition  Abatement (incl Dart Bowl and Residence  Abatement),SITEWORK
Sitework,SITEWORK
Landscape & Irrigation,SITEWORK
DOMESTIC & FIRE,SITEWORK
Ext AsphaltConcrete Demolotion,SITEWORK
APT  Landscaping & Irrigation,SITEWORK
Trash Compactor Enclosure Miscellaneous,SITEWORK
SITE STAKING,SITEWORK
ADA Ramps  Stairwells  Walkways  Railing,SITEWORK
Private Sidewalks & AC Pads,SITEWORK
 Retaining Walls  CMU Retaining Walls with Scope per HFCTO Review,SITEWORK
Landscape,SITEWORK
Storm Pond Internals (includes piping and filtration media),SITEWORK
Demo,SITEWORK
Landscaping  Allowance,SITEWORK
Electrical Distribution (Dry Utilities)  Allowance,SITEWORK
LANDSCAPING (PER LANDSCAPE PLANS),SITEWORK
Turnkey Concrete  Site,SITEWORK
Caulk Joints for Concrete Flatwork,SITEWORK
Pavement Striping & Signage,SITEWORK
 Site Amenities,SITEWORK
 Retaining Walls (random pattern fieldstone walls with grey mortar),SITEWORK
 Concrete Paving,SITEWORK
Site Fencing & Gates,SITEWORK
 Storm Drain  Onsite,SITEWORK
Pavement Markings  Parking Garage,SITEWORK
 Vehicular Gates,SITEWORK
 Demolition  Abatement,SITEWORK
Sanitary Service,SITEWORK
Piles  Caissons,SITEWORK
Earthwork,SITEWORK
Water Improvements,SITEWORK
Wet Utilities,SITEWORK
Water Utility Improvements  Allowance,SITEWORK
Concrete Apron,SITEWORK
Parking Lot Lights Power Co,SITEWORK
Monument Signage  Allowance,SITEWORK
Pavement Markings,SITEWORK
 Storm Detention Structures (splitter box  CIP concrete at pond),SITEWORK
Light Posts,SITEWORK
City of Georgetown Electrical Fee  Allowance,SITEWORK
Exterior Improvements,SITEWORK
Parking Lot Striping,SITEWORK
Utility Service Extension,SITEWORK
Other Sitework  Allowance,SITEWORK
 Miscellaneous Steel (light posts railing pickleball court fencing),SITEWORK
Tot Lot,SITEWORK
Convert $959910 Traffic Control Budget to $600000 Allowance,SITEWORK
Site Concrete Allowance,SITEWORK
Screening & Enclosures  Allowance,SITEWORK
Gas Line Trenching,SITEWORK
Site Preparation  Materials ,SITEWORK
Water  Offsite,SITEWORK
Storm Lift Station  Allowance,SITEWORK
 Excavation  Clearing,SITEWORK
Retaining Walls (Stone),SITEWORK
Monument Signs,SITEWORK
Irrigation  Landscaping,SITEWORK
Laydown Area,SITEWORK
Surveying  Staking  Topo,SITEWORK
Drainage,SITEWORK
 PAVING,SITEWORK
 Erosion Control  OnSite,SITEWORK
Access Control Gates,SITEWORK
Site Development  Excavation,SITEWORK
 Site Pavement  Light Duty Asphalt,SITEWORK
Pedestal Pavers,SITEWORK
 Street Sweeping  Re‐veg,SITEWORK
Exterior Improvemments,SITEWORK
Elect Water Sewer Gas etc  Allowance,SITEWORK
Decorative Fence,SITEWORK
Ipe Wood Deck & Steps,SITEWORK
 Additional Haul Off  Miscellaneous,SITEWORK
Landscaping and Irrigation,SITEWORK
Erosion and Sedimentation Controls,SITEWORK
Utilities  Sanitary Water Storm (incl gas distribution to courtyard),SITEWORK
Dry Utilities,SITEWORK
Contaminated Ground Water Permit and Dewatering,SITEWORK
Site Mobilization & Demo (Allowance),SITEWORK
STORM DRAINS,SITEWORK
Concrete Banches w Board Form,SITEWORK
OnSite Signage,SITEWORK
 Storm Drain  OffSite,SITEWORK
Bed Prep & Mulch,SITEWORK
 Electrical Distribution (Dry Utilities)  Allowance,SITEWORK
 Dumpster Gates  Bollards  Allowance,SITEWORK
Storm Drain  Onsite,SITEWORK
Small Ornamental Trees,SITEWORK
Seat Wall,SITEWORK
Synthetic Grass Surfacing,SITEWORK
Additional Pads (Buildings 2 3 & 4),SITEWORK
 Entrance Sign,SITEWORK
Specialty Paving,SITEWORK
Site Paving and Concrete,SITEWORK
Water Service,SITEWORK
Includes Allowance of $6000 for Water Meter and Line Tap Fees,SITEWORK
Misc Special Constructions,SITEWORK
 Concrete Paving (5 thick at parking spaces 6 at drives),SITEWORK
Sump Pump Repair  Allowance,SITEWORK
Curbing,SITEWORK
Fire Pit,SITEWORK
 Erosion Control,SITEWORK
GroundSet Flagpoles,SITEWORK
 Site Concrete  Sidewalks,SITEWORK
Subgrade  Caliche  Asphalt  Flecha Lane & Back Side,SITEWORK
 Site Utilities  Telephone,SITEWORK
Rock Trenching for Plumbing,SITEWORK
 Landscape Pavers (flagstone paving with 1 mortar setting bed),SITEWORK
Cistern Pump and Wet Well  Allowance,SITEWORK
ASPHALT PAVEMENT,SITEWORK
 Electrical  Offsite (Allowance for traffic signal work),SITEWORK
MESA,SITEWORK
CLUB  Landscaping & Irrigation,SITEWORK
Retaining Walls  includes $75000 Allowance,SITEWORK
 Demolition (other),SITEWORK
Ramps,SITEWORK
14 Steel Edging,SITEWORK
Metal Fencing Gate Openers & Ornamental Metal,SITEWORK
Mod CR6 Stone Base,SITEWORK
Caulk Concrete Paving,SITEWORK
Curb CutsHandicap Ramps,SITEWORK
Austin Energy  Onsite Electrical Infrastructure  Allowance,SITEWORK
Termite Pre Treatment,SITEWORK
Ramp Maintenance,SITEWORK
LAND DEVELOPMENTONSITE,SITEWORK
Retaining Wall  Allowance,SITEWORK
MISC ITEMS,SITEWORK
Excavation,SITEWORK
Tree Protection  Fencing,SITEWORK
Rock Retaining Walls (mosaic limestone grey mortar),SITEWORK
Propane Tank,SITEWORK
Site Plumbing ,SITEWORK
Public Sidewalks & Ramps,SITEWORK
Exterior Utilities,SITEWORK
Structure Demolition  Asbestos Remediation,SITEWORK
Utilities (Onsite & Offsite),SITEWORK
Outdoor Kitchen  Grill  Allowance,SITEWORK
Irrigation System,SITEWORK
 Site Concrete  Dumpster Apron & Drive Thru Lanes,SITEWORK
Earthwork SWPPP Paving  Phase 2  Allowance,SITEWORK
SITE FENCING,SITEWORK
Refinish Existing Site Wall,SITEWORK
Erosion Controls and Maintenance,SITEWORK
 Sanitary Sewer  Private,SITEWORK
Asphault Paving & Striping,SITEWORK
VE  Landscaping Target Design set at $123344,SITEWORK
 Onsite Landscaping,SITEWORK
Asphalt Paving,SITEWORK
Surveying and Staking,SITEWORK
PAVING,SITEWORK
Survey & Engineering,SITEWORK
Other Hardscape,SITEWORK
BUILDING DEMOLITION,SITEWORK
Erosion CntrlSiltFenceTree Protection,SITEWORK
Pavement Markings  Site,SITEWORK
Site Improvements  Bumper Stops Striping,SITEWORK
Perimeter Fencing,SITEWORK
Soil Erosion Control,SITEWORK
Includes Allowance of $75000 for Detention Pond,SITEWORK
Storm Drain  Offsite,SITEWORK
Termite Pretreat,SITEWORK
SWPPP Maintenance and Removal,SITEWORK
Water table pumping  Allowance,SITEWORK
 TESTING,SITEWORK
Fire HydrantFire Line,SITEWORK
 Pavement Markings  Striping,SITEWORK
Concrete Duct Bank,SITEWORK
 Site Lighting,SITEWORK
Wet Utilities  Water Piping & Accessories,SITEWORK
Two Smoking Shelters  Allowance,SITEWORK
Curb and Gutter,SITEWORK
 Storm Drain  OnSite,SITEWORK
 Dog Park Fencing (4 high dog park fence),SITEWORK
CO 39,CONTRACTOR SOFT COSTS
CO 7: ,CONTRACTOR SOFT COSTS
CO 16:,CONTRACTOR SOFT COSTS
CO 27: ,CONTRACTOR SOFT COSTS
CO 52:,CONTRACTOR SOFT COSTS
CO 50:,CONTRACTOR SOFT COSTS
CO 45:,CONTRACTOR SOFT COSTS
CO 24: ,CONTRACTOR SOFT COSTS
CO 28: ,CONTRACTOR SOFT COSTS
CO 43:,CONTRACTOR SOFT COSTS
CorniceSpecialty Siding,CONTRACTOR SOFT COSTS
CO 37:,CONTRACTOR SOFT COSTS
CO 17:,CONTRACTOR SOFT COSTS
CO 44:,CONTRACTOR SOFT COSTS
CO 59:,CONTRACTOR SOFT COSTS
CO 12: ,CONTRACTOR SOFT COSTS
CO 11: ,CONTRACTOR SOFT COSTS
Building Permit,CONTRACTOR SOFT COSTS
CO 60:,CONTRACTOR SOFT COSTS
CO 30: ,CONTRACTOR SOFT COSTS
CO 22:,CONTRACTOR SOFT COSTS
CO 33: ,CONTRACTOR SOFT COSTS
CO 18:,CONTRACTOR SOFT COSTS
CO 26: ,CONTRACTOR SOFT COSTS
CO 53: ,CONTRACTOR SOFT COSTS
CO 20:,CONTRACTOR SOFT COSTS
CO 29: ,CONTRACTOR SOFT COSTS
CO 15:,CONTRACTOR SOFT COSTS
CO 21:,CONTRACTOR SOFT COSTS
Test line item,CONTRACTOR SOFT COSTS
CO 3:,CONTRACTOR SOFT COSTS
Test 2,CONTRACTOR SOFT COSTS
CO 40: ,CONTRACTOR SOFT COSTS
CO 2: ,CONTRACTOR SOFT COSTS
CO 32: ,CONTRACTOR SOFT COSTS
CO 23: ,CONTRACTOR SOFT COSTS
CO 46: ,CONTRACTOR SOFT COSTS
CO 58:,CONTRACTOR SOFT COSTS
CO 64:,CONTRACTOR SOFT COSTS
CO 10:,CONTRACTOR SOFT COSTS
CO 8: ,CONTRACTOR SOFT COSTS
Comparable Pricing  CONTRACTOR SOFT COSTS,CONTRACTOR SOFT COSTS
CONTRACTOR SOFT COSTS TOTAL,CONTRACTOR SOFT COSTS
CO 6: ,CONTRACTOR SOFT COSTS
CO 38:,CONTRACTOR SOFT COSTS
CO 13:,CONTRACTOR SOFT COSTS
CO 19:,CONTRACTOR SOFT COSTS
CO 55:,CONTRACTOR SOFT COSTS
CO 34:,CONTRACTOR SOFT COSTS
CO 54:,CONTRACTOR SOFT COSTS
CO 35:,CONTRACTOR SOFT COSTS
CO 63: ,CONTRACTOR SOFT COSTS
CO 41:,CONTRACTOR SOFT COSTS
CO 14: ,CONTRACTOR SOFT COSTS
CO 48:,CONTRACTOR SOFT COSTS
CO 49:,CONTRACTOR SOFT COSTS
CO 4: ,CONTRACTOR SOFT COSTS
CO 36:,CONTRACTOR SOFT COSTS
CO 1: ,CONTRACTOR SOFT COSTS
CO 9:,CONTRACTOR SOFT COSTS
CO 47:,CONTRACTOR SOFT COSTS
CO 62:,CONTRACTOR SOFT COSTS
CO 31:,CONTRACTOR SOFT COSTS
CO 5: ,CONTRACTOR SOFT COSTS
CO 61:,CONTRACTOR SOFT COSTS
CO 42:,CONTRACTOR SOFT COSTS
CO 56: REV,CONTRACTOR SOFT COSTS
CO 25: ,CONTRACTOR SOFT COSTS
CO 57:,CONTRACTOR SOFT COSTS
Contingency2,GENERAL CONTRACTOR CONTINGENCY
GENERAL CONTRACTOR CONTINGENCY TOTAL,GENERAL CONTRACTOR CONTINGENCY
GC Contingency,GENERAL CONTRACTOR CONTINGENCY
Contingency Accounts,GENERAL CONTRACTOR CONTINGENCY
Comparable Pricing  GENERAL CONTRACTOR CONTINGENCY,GENERAL CONTRACTOR CONTINGENCY
     Contingency,GENERAL CONTRACTOR CONTINGENCY
     Contingency,GENERAL CONTRACTOR CONTINGENCY
Blank,GENERAL CONTRACTOR CONTINGENCY
Contingency,GENERAL CONTRACTOR CONTINGENCY
Electrical  Bond,GENERAL CONTRACTOR FEES / OVERHEAD & PROFIT
Phase 2  Miscellaneous,GENERAL CONTRACTOR FEES / OVERHEAD & PROFIT
Contractors Fee,GENERAL CONTRACTOR FEES / OVERHEAD & PROFIT
Structural Engineering By Owner,GENERAL CONTRACTOR FEES / OVERHEAD & PROFIT
10 Year Warranty Fee,GENERAL CONTRACTOR FEES / OVERHEAD & PROFIT
Textura Fees,GENERAL CONTRACTOR FEES / OVERHEAD & PROFIT
Architectural Structural MEP FP FA  Design,GENERAL CONTRACTOR FEES / OVERHEAD & PROFIT
